| OpenMP mode | # teams | # threads | # threads per team | # particles | # calculations | average calculation time (s) | average total time (s) |
| gpu         | 200     | 1600      | 8                  | 1000000     | 100            | 1.718867e-03                 | 3.324287e-02           |
| gpu         | 201     | 1608      | 8                  | 1000000     | 100            | 1.719048e-03                 | 3.332552e-02           |
| gpu         | 202     | 1616      | 8                  | 1000000     | 100            | 1.718945e-03                 | 3.333319e-02           |
| gpu         | 203     | 1624      | 8                  | 1000000     | 100            | 1.720356e-03                 | 3.337817e-02           |
| gpu         | 204     | 1632      | 8                  | 1000000     | 100            | 1.725136e-03                 | 3.338038e-02           |
| gpu         | 205     | 1640      | 8                  | 1000000     | 100            | 1.724716e-03                 | 3.337450e-02           |
| gpu         | 206     | 1648      | 8                  | 1000000     | 100            | 1.879369e-03                 | 3.350738e-02           |
| gpu         | 207     | 1656      | 8                  | 1000000     | 100            | 1.880762e-03                 | 3.350527e-02           |
| gpu         | 208     | 1664      | 8                  | 1000000     | 100            | 1.899884e-03                 | 3.352693e-02           |
| gpu         | 209     | 1672      | 8                  | 1000000     | 100            | 1.893156e-03                 | 3.350219e-02           |
| gpu         | 210     | 1680      | 8                  | 1000000     | 100            | 1.904310e-03                 | 3.353623e-02           |
| gpu         | 211     | 1688      | 8                  | 1000000     | 100            | 1.893565e-03                 | 3.350788e-02           |
| gpu         | 212     | 1696      | 8                  | 1000000     | 100            | 1.888261e-03                 | 3.350397e-02           |
| gpu         | 213     | 1704      | 8                  | 1000000     | 100            | 1.920672e-03                 | 3.354379e-02           |
| gpu         | 214     | 1712      | 8                  | 1000000     | 100            | 1.922020e-03                 | 3.356029e-02           |
| gpu         | 215     | 1720      | 8                  | 1000000     | 100            | 1.911418e-03                 | 3.351096e-02           |
| gpu         | 216     | 1728      | 8                  | 1000000     | 100            | 1.906672e-03                 | 3.361788e-02           |
| gpu         | 217     | 1736      | 8                  | 1000000     | 100            | 1.903250e-03                 | 3.367423e-02           |
| gpu         | 218     | 1744      | 8                  | 1000000     | 100            | 1.894848e-03                 | 3.351526e-02           |
| gpu         | 219     | 1752      | 8                  | 1000000     | 100            | 1.891292e-03                 | 3.355698e-02           |
| gpu         | 220     | 1760      | 8                  | 1000000     | 100            | 1.885522e-03                 | 3.357800e-02           |
| gpu         | 221     | 1768      | 8                  | 1000000     | 100            | 1.880634e-03                 | 3.353224e-02           |
| gpu         | 222     | 1776      | 8                  | 1000000     | 100            | 1.874558e-03                 | 3.350729e-02           |
| gpu         | 223     | 1784      | 8                  | 1000000     | 100            | 1.869865e-03                 | 3.351500e-02           |
| gpu         | 224     | 1792      | 8                  | 1000000     | 100            | 1.862522e-03                 | 3.350658e-02           |
| gpu         | 225     | 1800      | 8                  | 1000000     | 100            | 1.869487e-03                 | 3.348982e-02           |
| gpu         | 226     | 1808      | 8                  | 1000000     | 100            | 1.860849e-03                 | 3.348770e-02           |
| gpu         | 227     | 1816      | 8                  | 1000000     | 100            | 1.852974e-03                 | 3.348370e-02           |
| gpu         | 228     | 1824      | 8                  | 1000000     | 100            | 1.848812e-03                 | 3.347912e-02           |
| gpu         | 229     | 1832      | 8                  | 1000000     | 100            | 1.841222e-03                 | 3.348927e-02           |
| gpu         | 230     | 1840      | 8                  | 1000000     | 100            | 1.842125e-03                 | 3.350240e-02           |
| gpu         | 231     | 1848      | 8                  | 1000000     | 100            | 1.835535e-03                 | 3.346176e-02           |
| gpu         | 232     | 1856      | 8                  | 1000000     | 100            | 1.828129e-03                 | 3.347090e-02           |
